Name,Price,Price (Value),City,Distance,Distance (Value),Year,Category,Sub-Category
Want to sale my car like brand new KIA stonic EX +,"Rs.  6,000,000",6000000, Rawalpindi,"2,600 km",2600,2022,Cars,Kia
KIA PICANTO,"Rs.  2,425,000",2425000, Karachi,"41,365 km",41365,2020,Cars,Kia
Kia Sorento 2.4 FWD,"Rs.  10,700,000",10700000, Islamabad,200 km,200,2023,Cars,Kia
kia Classic 2000 model,"Rs.  370,000",370000, Rawalpindi,"193,000 km",193000,2000,Cars,Kia
Kia Picanto June 2023 Car for Sale only 732 km driven,"Rs.  3,400,000",3400000, Lahore,732 km,732,2023,Cars,Kia
KIA Sportage alpha 2021,"Rs.  7,500,000",7500000, Karachi,"1,000 km",1000,2021,Cars,Kia
kia Sportage alpha 2021,"Rs.  7,100,000",7100000, Peshawar,"40,000 km",40000,2021,Cars,Kia
KIA SPORTAGE FWD 2023,"Rs.  8,200,000",8200000, Karachi,"3,600 km",3600,2023,Cars,Kia
kia Sportage 2004 model,"Rs.  1,370,000",1370000, Sialkot,"60,000 km",60000,2004,Cars,Kia
Kia Picanto Automatic 2022,"Rs.  3,400,000",3400000, Lahore,"5,500 km",5500,2022,Cars,Kia
kia spotage AWD 21-22 model,"Rs.  7,950,000",7950000, Chichawatni,"15,000 km",15000,2021,Cars,Kia
kia pride 1996 chilld ac every thing is excellent working condition,"Rs.  330,000",330000, Karachi,"90,000 km",90000,1996,Cars,Kia
Automatic kia Spectra 2001 Family Used Car,"Rs.  685,000",685000, Karachi,"123,456 km",123456,2001,Cars,Kia
kia picanto mt 2020,"Rs.  2,700,000",2700000, Faisalabad,"45,000 km",45000,2020,Cars,Kia
Kia picanto A/T 2022 model,"Rs.  3,275,000",3275000, Sargodha,"17,500 km",17500,2022,Cars,Kia
Kia Picanto MT,"Rs.  2,790,000",2790000, Rawalpindi,"50,000 km",50000,2021,Cars,Kia
Mitsubishi 2015,"Rs.  2,110,000",2110000, Jhelum,"50,000 km",50000,2015,Cars,Mitsubishi
"Nissan Dayz,Mitsubishi EK wagon","Rs.  3,250,000",3250000, Lahore,"29,000 km",29000,2019,Cars,Mitsubishi
Mitsubishi EK Wagon 2017 M Package,"Rs.  2,685,000",2685000, Islamabad,"62,000 km",62000,2017,Cars,Mitsubishi
NISSAN DAYZ MITSUBISHI EK X,"Rs.  3,950,000",3950000, Lahore,"11,500 km",11500,2019,Cars,Mitsubishi
MITSUBISHI EK X NISSAN DAY HIGHWAY STAR,"Rs.  3,925,000",3925000, Lahore,"12,000 km",12000,2019,Cars,Mitsubishi
Mitsubishi Pajero 1997,"Rs.  2,750,000",2750000, Rawalpindi,"240,359 km",240359,1996,Cars,Mitsubishi
Mitsubishi Pajero 1997,"Rs.  2,950,000",2950000, Islamabad,"123,456 km",123456,1997,Cars,Mitsubishi
Mitsubishi Pajero for Sale Urgent,"Rs.  1,850,000",1850000, Gujrat,"90,000 km",90000,1993,Cars,Mitsubishi
Mitsubishi EK Space X Hybrid 2020,"Rs.  3,600,000",3600000, Lahore,"19,000 km",19000,2020,Cars,Mitsubishi
Mitsubishi Pajero 2.4cc Diesel Manual gear,"Rs.  1,800,000",1800000, Lahore,"100,000 km",100000,1997,Cars,Mitsubishi
Mitsubishi Ek Wagon G 2018,"Rs.  2,880,000",2880000, Islamabad,"125,000 km",125000,2018,Cars,Mitsubishi
mitsubishi Lancer 1.8 Evolution,"Rs.  1,980,000",1980000, Lahore,"95,000 km",95000,2005,Cars,Mitsubishi
mitsubishi mini pajero,"Rs.  1,070,000",1070000, Karachi,"2,000 km",2000,1995,Cars,Mitsubishi
Mitsubishi pajero 1986 for sale,"Rs.  1,300,000",1300000, Lahore,"100,000 km",100000,1986,Cars,Mitsubishi
Mitsubishi EKWagon 2019,"Rs.  3,250,000",3250000, Karachi,"5,000 km",5000,2019,Cars,Mitsubishi
Mitsubishi Evolution 7 (2006) Turbocharged,"Rs.  4,400,000",4400000, Karachi,"125,000 km",125000,2006,Cars,Mitsubishi
Mitsubishi lancer 2004,"Rs.  1,200,000",1200000, Lahore,195 km,195,2004,Cars,Mitsubishi
Mitsubishi mini pajero 1997/2007,"Rs.  865,000",865000, Lahore,"80,000 km",80000,2007,Cars,Mitsubishi
Mitsubishi L200 double cabin pickup,"Rs.  1,050,000",1050000, Islamabad,"11,111 km",11111,1996,Cars,Mitsubishi
mitsubishi pajero 1986,"Rs.  1,250,000",1250000, Murree,"200,000 km",200000,1986,Cars,Mitsubishi
Mitsubishi EK Custom G 2018,"Rs.  2,790,000",2790000, Sahiwal,"85,000 km",85000,2018,Cars,Mitsubishi
Mitsubishi Pajero IO Pinin,"Rs.  2,300,000",2300000, Lahore,"214,000 km",214000,1998,Cars,Mitsubishi
mitsubishi minicab bravo 660cc,"Rs.  1,500,000",1500000, Lahore,"142,000 km",142000,2014,Cars,Mitsubishi
Mitsubishi mini Pajero 660 cc,"Rs.  1,600,000",1600000, Karachi,"180,000 km",180000,2010,Cars,Mitsubishi
Mitsubishi pajero 3 door,"Rs.  1,800,000",1800000, Islamabad,"150,000 km",150000,1993,Cars,Mitsubishi
Mitsubishi Ek wagon for sale/Exchange,"Rs.  1,620,000",1620000, Attock,"99,999 km",99999,2013,Cars,Mitsubishi
Mitsubishi Lancer Automatic 2005 Model,"Rs.  1,075,000",1075000, Karachi,"164,000 km",164000,2005,Cars,Mitsubishi
Mitsubishi MiniCab 2013 regd 2018,"Rs.  1,180,000",1180000, Karachi,"88,000 km",88000,2012,Cars,Mitsubishi
Mitsubishi Ek wagon Model 2014 Registered 2017,"Rs.  2,100,000",2100000, Karachi,"96,000 km",96000,2014,Cars,Mitsubishi
Mitsubishi EK X Hybrid Turbo Crossover 2WD 2019,"Rs.  4,100,000",4100000, Lahore,"14,430 km",14430,2019,Cars,Mitsubishi
Mitsubishi ek wegon,"Rs.  1,550,000",1550000, Rawalpindi,"135,000 km",135000,2007,Cars,Mitsubishi
mitsubishi minicab,"Rs.  1,200,000",1200000, Karachi,"18,000 km",18000,2012,Cars,Mitsubishi
Mitsubishi lancer glx automatic,"Rs.  1,500,000",1500000, Karachi,"185,000 km",185000,2005,Cars,Mitsubishi
Mitsubishi Lancer 1992,"Rs.  380,000",380000, Faisalabad,"2,500 km",2500,1992,Cars,Mitsubishi
Mitsubishi Mirage 1000CC Bumper to Bumper original,"Rs.  2,200,000",2200000, Rahimyar Khan,"117,000 km",117000,2014,Cars,Mitsubishi
Mitsubishi Lancer 2007/13 japnese,"Rs.  1,420,000",1420000, Karachi,"130,000 km",130000,2007,Cars,Mitsubishi
mitsubishi lancer,"Rs.  250,000",250000, Karachi,"100,000 km",100000,1990,Cars,Mitsubishi
Mitsubishi Pajero Mini Better than Mehran /Alto,"Rs.  1,240,000",1240000, Dera Ghazi Khan,"125,000 km",125000,2006,Cars,Mitsubishi
MITSUBISHI PAJERO EXCEED FULL OPTION,"Rs.  4,500,000",4500000, Faisalabad,"190,000 km",190000,1994,Cars,Mitsubishi
Mitsubishi,"Rs.  2,800,000",2800000, Peshawar,"1,234 km",1234,1997,Cars,Mitsubishi
Mitsubishi Lancer,"Rs.  1,050,000",1050000, Karachi,"140,000 km",140000,2005,Cars,Mitsubishi
Mitsubishi Lancer Glx 2005,"Rs.  850,000",850000, Lahore,"123,456 km",123456,2005,Cars,Mitsubishi
Mitsubishi lancer full option is up for sale,"Rs.  1,600,000",1600000, Rawalpindi,"170,000 km",170000,2009,Cars,Mitsubishi
MITSUBISHI EK CUSTOM,"Rs.  2,200,000",2200000, Karachi,"94,000 km",94000,2014,Cars,Mitsubishi
MITSUBISHI EK WAGON (FIRST OWNER),"Rs.  1,690,000",1690000, Lahore,"123,456 km",123456,2015,Cars,Mitsubishi
Mitsubishi lancer 2005,"Rs.  1,100,000",1100000, Lahore,"278,000 km",278000,2005,Cars,Mitsubishi
Mitsubishi lancer 2005,"Rs.  1,100,000",1100000, Lahore,"278,028 km",278028,2005,Cars,Mitsubishi
Mitsubishi mirage,"Rs.  2,000,000",2000000, Multan,"108,000 km",108000,2014,Cars,Mitsubishi
Mitsubishi Pajero 2005,"Rs.  3,800,000",3800000, Lahore,"200,000 km",200000,2005,Cars,Mitsubishi
Mitsubishi Pajero Automatic 1991 5 Door 2800 CC Turbo Engine,"Rs.  1,000,000",1000000, Karachi,"100,000 km",100000,1991,Cars,Mitsubishi
mitsubishi pajero 2.4 intercooler turbo,"Rs.  2,975,000",2975000, Lahore,"225,000 km",225000,1992,Cars,Mitsubishi
Mitsubishi Minica 13/19,"Rs.  1,500,000",1500000, Gujranwala,"58,000 km",58000,2019,Cars,Mitsubishi
mitsubishi lancer,"Rs.  835,000",835000, Karachi,300 km,300,2005,Cars,Mitsubishi
Mitsubishi minicab 13/19,"Rs.  1,230,000",1230000, Punjab,"90,558 km",90558,2013,Cars,Mitsubishi
Mitsubishi EK Wagon,"Rs.  1,520,000",1520000, Karachi,"94,000 km",94000,2011,Cars,Mitsubishi
Mitsubishi Pajero 1997,"Rs.  3,100,000",3100000, Lahore,"214,000 km",214000,1997,Cars,Mitsubishi
Automatic Mitsubishi Minica,"Rs.  1,250,000",1250000, Lahore,"78,699 km",78699,2008,Cars,Mitsubishi
Mitsubishi EK Wagon 2007/2013,"Rs.  1,650,000",1650000, Lahore,"115,000 km",115000,2013,Cars,Mitsubishi
Mitsubishi Lancer 2005 Excellent Condition,"Rs.  1,035,000",1035000, Karachi,"12,345 km",12345,2005,Cars,Mitsubishi
MITSUBISHI EXCEED 5 DOORS SALE EXCHANGE with cars or property,"Rs.  1,860,000",1860000, Punjab,"200,000 km",200000,1990,Cars,Mitsubishi
MITSUBISHI EXCEED 86 DIESEL 4X4 KP# SALE / EXCHANGE,"Rs.  1,860,000",1860000, Rawalpindi,"123,456 km",123456,1986,Cars,Mitsubishi
Mitsubishi pajero mini 1995,"Rs.  1,390,000",1390000, Islamabad,"100,000 km",100000,1995,Cars,Mitsubishi
Mitsubishi lancer perfect working condition LCD Soundsystem AC on hai,"Rs.  325,000",325000, Karachi,"123,456 km",123456,1991,Cars,Mitsubishi
MITSUBISHI L200.2007 model,"Rs.  2,000,000",2000000, Islamabad,"105,000 km",105000,2007,Cars,Mitsubishi
Mitsubishi Lancer GLX 1.3 2006,"Rs.  1,350,000",1350000, Chakwal,"285,000 km",285000,2006,Cars,Mitsubishi
Mitsubishi Lancer GLX 2004 beig interior,"Rs.  1,390,000",1390000, Lahore,"210,000 km",210000,2004,Cars,Mitsubishi
MITSUBISHI EK WAGON ECO IDLE,"Rs.  2,950,000",2950000, Sialkot,"32,000 km",32000,2018,Cars,Mitsubishi
Mitsubishi,"Rs.  2,500,000",2500000, Gujranwala,"100,000 km",100000,2017,Cars,Mitsubishi
Mitsubishi Lancer1987 03215176300,"Rs.  310,000",310000, Lahore,"10,000 km",10000,1987,Cars,Mitsubishi
Mitsubishi Minica 660 cc Automatic,"Rs.  1,300,000",1300000, Karachi,"100,000 km",100000,2008,Cars,Mitsubishi
MITSUBISHI PAJERO INTERCOOLER TURBO,"Rs.  3,500,000",3500000, Gujrat,"145,000 km",145000,2023,Cars,Mitsubishi
Mitsubishi lancer 2008 islamabad,"Rs.  1,750,000",1750000, Rawalpindi,"295,000 km",295000,2008,Cars,Mitsubishi
Mitsubishi EK Sports,"Rs.  2,000,000",2000000, Islamabad,"155,000 km",155000,2011,Cars,Mitsubishi
Mitsubishi lancer 1.3,"Rs.  1,890,000",1890000, Lahore,"150,000 km",150000,2006,Cars,Mitsubishi
Mitsubishi lancer 2005,"Rs.  1,275,000",1275000, Pirmahal,"310,000 km",310000,2005,Cars,Mitsubishi
Mitsubishi Lancer 1.6 CVT Best Comfortable Car,"Rs.  1,600,000",1600000, Lahore,"99,999 km",99999,2006,Cars,Mitsubishi
Mitsubishi EK Wagon Full Option Auto Door,"Rs.  1,600,000",1600000, Lahore,"74,000 km",74000,2007,Cars,Mitsubishi
Mitsubishi pajero 1993 model jeep,"Rs.  1,575,000",1575000, Lahore,"186,000 km",186000,1993,Cars,Mitsubishi
MITSUBISHI EK WAGON 13/15,"Rs.  1,725,000",1725000, Rawalpindi,"116,000 km",116000,2013,Cars,Mitsubishi
Mitsubishi ek x Hybrid,"Rs.  3,950,000",3950000, Kamoke,"17,000 km",17000,2019,Cars,Mitsubishi
Mitsubishi galant,"Rs.  1,010,000",1010000, Faisalabad,"12,548 km",12548,1998,Cars,Mitsubishi
Mitsubishi lancer japanese seal by seal. Non accidental,"Rs.  380,000",380000, Wah,"350,000 km",350000,1993,Cars,Mitsubishi
Mitsubishi Pajeero 5 Door Turbo Urgent sale,"Rs.  1,250,000",1250000, Karachi,"255,600 km",255600,1989,Cars,Mitsubishi
Mitsubishi ek wagon 2016  model 2019 registered lifetime token paid,"Rs.  2,585,000",2585000, Islamabad,"62,300 km",62300,2019,Cars,Mitsubishi
Mitsubishi Ek wagon,"Rs.  1,725,000",1725000, Lahore,"6,000 km",6000,2013,Cars,Mitsubishi
Mitsubishi Lancer 1.5 Automatic  Powerpack Japanese Variant,"Rs.  1,475,000",1475000, Karachi,"99,999 km",99999,2006,Cars,Mitsubishi
Mitsubishi EK Space Custom,"Rs.  2,200,000",2200000, Karachi,"41,000 km",41000,2016,Cars,Mitsubishi
Mitsubishi Lancer 1.6 Glx,"Rs.  1,175,000",1175000, Karachi,"123,456 km",123456,2005,Cars,Mitsubishi
Mitsubishi lancer GLX SR,"Rs.  1,395,000",1395000, Karachi,"220,000 km",220000,2007,Cars,Mitsubishi
"Mitsubishi mini cab 2014,2019","Rs.  1,500,000",1500000, Lahore,"58,000 km",58000,2019,Cars,Mitsubishi
mitsubishi lancer 1990,"Rs.  250,000",250000, Faisalabad,"740,000 km",740000,1990,Cars,Mitsubishi
Mitsubishi ek wagon same alto mira move 660cc,"Rs.  1,490,000",1490000, Karachi,"150,000 km",150000,2007,Cars,Mitsubishi
Mitsubishi Ek Wagon 7/13,"Rs.  1,400,000",1400000, Sialkot,"288,000 km",288000,2013,Cars,Mitsubishi
Mitsubishi Lancer for sale price slightly negotiable,"Rs.  1,400,000",1400000, Lahore,"285,000 km",285000,2007,Cars,Mitsubishi
"Mitsubishi Lancer 1991 exch possible with Honda CG/CB, Suzuki GS SE.","Rs.  260,000",260000, Karachi,"140,000 km",140000,1991,Cars,Mitsubishi
Mitsubishi lancer,"Rs.  1,350,000",1350000, Faisalabad,"123,456 km",123456,2005,Cars,Mitsubishi
"Mitsubishi Lancer 1.3 Automatic , Mod 2005. as Civic/City/Corolla/.","Rs.  1,285,000",1285000, Karachi,"115,000 km",115000,2005,Cars,Mitsubishi
MITSUBISHI MINICAB NEW CONDITION BETTER THAN EVERY AND HIJET,"Rs.  1,150,000",1150000, Lahore,"69,000 km",69000,2015,Cars,Mitsubishi
Mitsubishi Galant 1995 Model,"Rs.  1,300,000",1300000, Lahore,"20,000 km",20000,1995,Cars,Mitsubishi
Mitsubishi Lancer 1991 model. Rawalpindi number,"Rs.  550,000",550000, Islamabad,"999,999 km",999999,1991,Cars,Mitsubishi
Mitsubishi Lancer 2006 import 2011 fully automatic,"Rs.  1,500,000",1500000, Sheikhüpura,"165,000 km",165000,2011,Cars,Mitsubishi
Mitsubishi E K space custom for sale,"Rs.  3,200,000",3200000, Faisalabad,"91,000 km",91000,2018,Cars,Mitsubishi
Mitsubishi lancer full automatic 2 remote keys,"Rs.  1,750,000",1750000, Sheikhüpura,"165,000 km",165000,2011,Cars,Mitsubishi
Mitsubishi Lancer with Toyota 1.6 efi engine chilled AC,"Rs.  540,000",540000, Lahore,"99,999 km",99999,1989,Cars,Mitsubishi
mitsubishi lancer glx 2005,"Rs.  1,100,000",1100000, Islamabad,"100,000 km",100000,2005,Cars,Mitsubishi
Mitsubishi minicab 7 seater,"Rs.  1,200,000",1200000, Islamabad,"251,000 km",251000,2011,Cars,Mitsubishi
Mitsubishi lancer model 1990,"Rs.  410,000",410000, Karachi,"10,000 km",10000,1990,Cars,Mitsubishi
Mitsubishi Minicab Full join 2018(clipper/hijet/every),"Rs.  2,525,000",2525000, Karachi,"105,000 km",105000,2018,Cars,Mitsubishi
2007 Mitsubishi Galant 2.5 VR 280 BHP Total Original,"Rs.  2,250,000",2250000, Lahore,"128,000 km",128000,2007,Cars,Mitsubishi
home use Mitsubishi Pajero 2800cc intercooler turbo diesel 1994 model,"Rs.  2,850,000",2850000, Gujrat,"150,000 km",150000,1994,Cars,Mitsubishi
Mitsubishi Pajero,"Rs.  1,380,000",1380000, Multan,"12,345 km",12345,1990,Cars,Mitsubishi
Lancer Mitsubishi 1994 for sale! better than Mehran and Alto.,"Rs.  365,000",365000, Karachi,"100,000 km",100000,1994,Cars,Mitsubishi
Mitsubishi EK Wagon Full Option Auto Door,"Rs.  1,600,000",1600000, Lahore,74 km,74,2007,Cars,Mitsubishi
Mitsubishi lancer 1990 model,"Rs.  550,000",550000, Mardan,"999,999 km",999999,1990,Cars,Mitsubishi
Mitsubishi Ek Wagon 660cc,"Rs.  2,275,000",2275000, Faisalabad,"70,000 km",70000,2017,Cars,Mitsubishi
Mitsubishi Pajero 4×4,"Rs.  1,400,000",1400000, Taxila,"123,456 km",123456,1990,Cars,Mitsubishi
mitsubishi lancer 2004,"Rs.  1,225,000",1225000, Rawalpindi,"214,000 km",214000,2004,Cars,Mitsubishi
mitsubishi pajero intercooler 3 door,"Rs.  2,000,000",2000000, Multan,"100,000 km",100000,1995,Cars,Mitsubishi
Mitsubishi pajero 3 door,"Rs.  900,000",900000, Gujar Khan,"215,000 km",215000,1984,Cars,Mitsubishi
Mitsubishi lancer 1996. japani car,"Rs.  500,000",500000, Karachi,"500,000 km",500000,1996,Cars,Mitsubishi
Mitsubishi Lancer Dolphin,"Rs.  280,000",280000, Karachi,1 km,1,1991,Cars,Mitsubishi
Mitsubishi Lancer 2005/07,"Rs.  1,270,000",1270000, Pirmahal,"111,111 km",111111,2005,Cars,Mitsubishi
Mitsubishi Lancer 2005 Model Registered in 2010,"Rs.  1,850,000",1850000, Rawalpindi,"12,345 km",12345,2005,Cars,Mitsubishi
Mitsubishi Lancer 1.3 glx,"Rs.  425,000",425000, Karachi,"145,000 km",145000,1990,Cars,Mitsubishi
Mitsubishi Lancer,"Rs.  1,480,000",1480000, Mardan,"305,910 km",305910,2005,Cars,Mitsubishi
Mitsubishi Lancer 90 ( 2000 recondition,"Rs.  350,000",350000, Karachi,"150,000 km",150000,1990,Cars,Mitsubishi
Mitsubishi 2003 model My WA NO 03162406743,"Rs.  1,600,000",1600000, Karachi,"10,000 km",10000,2003,Cars,Mitsubishi
Mitsubishi Lancer 1.5 Japanese B2B,"Rs.  1,950,000",1950000, Islamabad,"130,000 km",130000,2012,Cars,Mitsubishi
Mitsubishi Lancer 1.5 B2B,"Rs.  1,950,000",1950000, Islamabad,"130,000 km",130000,2012,Cars,Mitsubishi
Mitsubishi Pajero intercolor,"Rs.  2,400,000",2400000, Gujranwala,"150,000 km",150000,1992,Cars,Mitsubishi
Mitsubishi Pajero Exceed 2.8,"Rs.  2,700,000",2700000, Karachi,"117,000 km",117000,1994,Cars,Mitsubishi
"Mitsubishi Minicab, Model 2008","Rs.  1,000,000",1000000, Rawalpindi,"272,684 km",272684,2008,Cars,Mitsubishi
Japnease Mitsubishi lancer 2006 model 2011import prosmatec,"Rs.  1,575,000",1575000, Faisalabad,"135,000 km",135000,2011,Cars,Mitsubishi
i am selling my mitsubishi lancer 2005 model in good condition,"Rs.  1,325,000",1325000, Lahore,123 km,123,2005,Cars,Mitsubishi
Mitsubishi Pajero,"Rs.  1,280,000",1280000, Karachi,"150,000 km",150000,1988,Cars,Mitsubishi
Mitsubishi lancer Japanese,"Rs.  1,380,000",1380000, Karachi,"110,000 km",110000,2005,Cars,Mitsubishi
Mitsubishi Mini Pajero 660cc automatic,"Rs.  1,400,000",1400000, Islamabad,"150,000 km",150000,2004,Cars,Mitsubishi
Mitsubishi Mirage 2014/2017,"Rs.  2,550,000",2550000, Islamabad,"140,000 km",140000,2014,Cars,Mitsubishi
Mitsubishi Galant 1993 Automatic Lush condition,"Rs.  780,000",780000, Faisalabad,"5,000 km",5000,1993,Cars,Mitsubishi
Mitsubishi lancer 2006/2012/2013,"Rs.  1,400,000",1400000, Gujranwala,"250,000 km",250000,2006,Cars,Mitsubishi
Mitsubishi town box like as every car,"Rs.  1,300,000",1300000, Mirpur,"155,000 km",155000,2014,Cars,Mitsubishi
Mitsubishi lancer 2004 for urgent sale,"Rs.  1,300,000",1300000, Lahore,"183,500 km",183500,2004,Cars,Mitsubishi
Mitsubishi Pajero 5 Door,"Rs.  1,850,000",1850000, Hyderabad,"10,000 km",10000,1987,Cars,Mitsubishi
mitsubishi ek wagon,"Rs.  3,550,000",3550000, Karachi,"20,000 km",20000,2019,Cars,Mitsubishi
Mitsubishi Lancer 2005,"Rs.  1,450,000",1450000, Sialkot,"90,000 km",90000,2005,Cars,Mitsubishi
Mitsubishii Minicap,"Rs.  1,060,000",1060000, Karachi,250 km,250,2010,Cars,Mitsubishi
mitsubishi,"Rs.  2,500,000",2500000, Gujrat,"150,000 km",150000,1991,Cars,Mitsubishi
Mitsubishi Pajero Mini 2012/2017 Full Option,"Rs.  2,250,000",2250000, Attock,88 km,88,2012,Cars,Mitsubishi
Mitsubishi dolphin lancer 1990 model,"Rs.  780,000",780000, Peshawar,"190,000 km",190000,1990,Cars,Mitsubishi
Mitsubishi Lancer urgent sale,"Rs.  1,200,000",1200000, Karachi,"165,000 km",165000,2006,Cars,Mitsubishi
Mitsubishi meriage total genuine home. used car,"Rs.  2,200,000",2200000, Muridike,"150,000 km",150000,2017,Cars,Mitsubishi
mitsubishi pajero mini,"Rs.  1,100,000",1100000, Islamabad,"69,000 km",69000,1996,Cars,Mitsubishi
Mitsubishi lancer AC on,"Rs.  380,000",380000, Karachi,"23,546 km",23546,1993,Cars,Mitsubishi
MITSUBISHI MINICA NATTY - 2 DOOR,"Rs.  1,200,000",1200000, Karachi,"130,000 km",130000,2008,Cars,Mitsubishi
Mitsubishi lancer Model 1991 (Exchange possible with Khyber and FaW xp,"Rs.  325,000",325000, Karachi,"9,999 km",9999,1991,Cars,Mitsubishi
Mitsubishi Lancer 2004 Model,"Rs.  1,750,000",1750000, Hafizabad,"30,000 km",30000,2004,Cars,Mitsubishi
Mitsubishi Lancer 2007 /2013.,"Rs.  1,700,000",1700000, Hyderabad,"160,549 km",160549,2013,Cars,Mitsubishi
Mitsubishi lancer boxtype lefthand,"Rs.  500,000",500000, Karachi,"123,456 km",123456,1982,Cars,Mitsubishi
mitsubishi minicab 2010 for sale,"Rs.  1,050,000",1050000, Rawalpindi,"100,000 km",100000,2012,Cars,Mitsubishi
mitsubishi lancer,"Rs.  400,000",400000, Karachi,"1,234 km",1234,1992,Cars,Mitsubishi
Selling Mitsubishi Lancer 1993 - Buy and Drive,"Rs.  410,000",410000, Lahore,"200,000 km",200000,1993,Cars,Mitsubishi
Mitsubishi Hijet 2013,"Rs.  1,350,000",1350000, Karachi,"160,000 km",160000,2013,Cars,Mitsubishi
Mitsubishi lancer,"Rs.  400,000",400000, Faisalabad,"220,000 km",220000,1991,Cars,Mitsubishi
Mitsubishi Toppo 2008 Good Condition,"Rs.  1,200,000",1200000, Lahore,"99,999 km",99999,2008,Cars,Mitsubishi
Mitsubishi Lancer GLX Automatic 1.3 2004,"Rs.  1,280,000",1280000, Lahore,"200,000 km",200000,2004,Cars,Mitsubishi
Mitsubishi Lancer Saloon model 2005,"Rs.  1,245,000",1245000, Karachi,"200,000 km",200000,2005,Cars,Mitsubishi
Mitsubishi ki lancer car model 1990 contact number,"Rs.  400,000",400000, Jacobabad,"654,321 km",654321,1990,Cars,Mitsubishi
Mitsubishi Mini Pajero 2004,"Rs.  1,120,000",1120000, Karachi,"100,000 km",100000,2004,Cars,Mitsubishi
Mitsubishi Lancer,"Rs.  715,000",715000, Karachi,"100,000 km",100000,1998,Cars,Mitsubishi
Mitsubishi minicab 2008 model 2012 regestered,"Rs.  1,250,000",1250000, Islamabad,"99,999 km",99999,2008,Cars,Mitsubishi
Mitsubishi ek custome,"Rs.  3,350,000",3350000, Gujrat,"41,500 km",41500,2019,Cars,Mitsubishi
Mitsubishi Lancer Urjent Sale,"Rs.  200,000",200000, Karachi,18 km,18,1986,Cars,Mitsubishi
Mitsubishi Mini Pajero 2000 / 2006 Manual 1100cc Petrol 4x4,"Rs.  1,045,000",1045000, Karachi,"81,000 km",81000,2006,Cars,Mitsubishi
Mitsubishi Lancer GL 1990,"Rs.  295,000",295000, Karachi,1 km,1,1990,Cars,Mitsubishi
Mitsubishi Lancer GLX 1.3,"Rs.  300,000",300000, Chunian,"200,000 km",200000,1986,Cars,Mitsubishi
Mitsubishi Lancer 2004,"Rs.  1,150,000",1150000, Sargodha,"300,000 km",300000,2004,Cars,Mitsubishi
Mitsubishi lancer Japanese,"Rs.  1,800,000",1800000, Islamabad,"160,000 km",160000,2011,Cars,Mitsubishi
full orijnal 2nd owner Mitsubishi ki minicab,"Rs.  1,030,000",1030000, Karachi,"168,000 km",168000,2013,Cars,Mitsubishi
Mitsubishi Pajero 1991,"Rs.  1,400,000",1400000, Karachi,"200,000 km",200000,1991,Cars,Mitsubishi
Mitsubishi Lancer fresh call on 03179739554,"Rs.  210,000",210000, Peshawar,"134,288 km",134288,1987,Cars,Mitsubishi
mitsubishi pajero mini,"Rs.  1,550,000",1550000, Rawalpindi,"173,210 km",173210,1995,Cars,Mitsubishi
Mitsubishi Lancer 2004/2005 Automatic for sale,"Rs.  1,350,000",1350000, Faisalabad,"170,000 km",170000,2005,Cars,Mitsubishi
Mitsubishi I car 660 cc for sale home used exchange possible,"Rs.  1,600,000",1600000, Lahore,"75,000 km",75000,2014,Cars,Mitsubishi
Mitsubishi lancer 1998 peshawar registration 1300cc 4E engine Ac ok,"Rs.  750,000",750000, Peshawar,"200,000 km",200000,1998,Cars,Mitsubishi
Mitsubishi Mirage 2014,"Rs.  2,225,000",2225000, Lahore,"71,000 km",71000,2014,Cars,Mitsubishi
Mitsubishi galant urgent sale original condition 10/10,"Rs.  665,000",665000, Lahore,"85,000 km",85000,1992,Cars,Mitsubishi
mitsubishi lancer 2007,"Rs.  1,350,000",1350000, Faisalabad,"187,000 km",187000,2006,Cars,Mitsubishi
Mitsubishi Pajero,"Rs.  780,000",780000, Lahore,"120,000 km",120000,1990,Cars,Mitsubishi
Mitsubishi Galant 2001/2016 for sale,"Rs.  1,250,000",1250000, Taxila,"168,000 km",168000,2001,Cars,Mitsubishi
Mitsubishi mirage 12/15,"Rs.  1,900,000",1900000, Punjab,"200,000 km",200000,2012,Cars,Mitsubishi
Mitsubishi EK-X sports hybrid,"Rs.  3,900,000",3900000, Lahore,"8,000 km",8000,2019,Cars,Mitsubishi
Mitsubishi Ek Custom 2015 reg 2019,"Rs.  2,275,000",2275000, Karachi,"68,000 km",68000,2015,Cars,Mitsubishi
mitsubishi mini pajero good condition,"Rs.  988,000",988000, Lahore,"123,456 km",123456,2007,Cars,Mitsubishi
Mitsubishi lancer . 03110802040,"Rs.  320,000",320000, Karachi,"50,000 km",50000,1991,Cars,Mitsubishi
Mitsubishi Lancer 99 model full option,"Rs.  1,350,000",1350000, Lahore,"100,000 km",100000,1999,Cars,Mitsubishi
Mitsubishi mirage full option push start,"Rs.  1,900,000",1900000, Faisalabad,"200,000 km",200000,2015,Cars,Mitsubishi
Mitsubishi 1.6 B4 engine installed,"Rs.  900,000",900000, Multan,"123,456 km",123456,1995,Cars,Mitsubishi
Mitsubishi Ek Wagon 2013 FOR SALE,"Rs.  2,075,000",2075000, Lahore,"119,200 km",119200,2013,Cars,Mitsubishi
